build_component_id,quantity,build_id,component_id
131,1,17,74
132,1,17,90
133,1,17,104
134,1,17,128
135,1,17,138
136,1,17,153
137,1,18,27
138,1,18,45
139,1,18,73
140,1,18,90
141,1,18,114
142,1,18,130
143,1,18,138
144,1,18,154
145,1,19,16
146,1,19,58
147,1,19,78
148,1,19,89
149,1,19,106
150,1,19,132
151,1,19,141
152,1,19,159
153,1,20,5
154,1,20,45
155,1,20,71
156,1,20,90
157,1,20,117
158,1,20,127
159,1,20,138
160,1,20,154
161,1,21,11
162,1,21,44
163,1,21,69
164,1,21,90
165,1,21,117
166,1,21,128
167,1,21,138
168,1,21,155
169,1,22,29
170,1,22,52
171,1,22,75
172,1,22,89
173,1,22,115
174,1,22,131
175,1,22,139
176,1,22,154
177,1,23,7
178,1,23,44
179,1,23,73
180,1,23,90
181,1,23,115
182,1,23,129
183,1,23,138
184,1,23,151
185,1,24,11
186,1,24,42
187,1,24,71
188,1,24,86
189,1,24,110
190,1,24,129
191,1,24,138
192,1,24,154
193,1,25,10
194,1,25,40
195,1,25,74
196,1,25,84
197,1,25,109
198,1,25,127
199,1,25,138
200,1,25,154
201,1,26,6
202,1,26,45
203,1,26,67
204,1,26,84
205,1,26,114
206,1,26,127
207,1,26,138
208,1,26,151
209,1,27,33
210,1,27,58
211,2,27,78
212,1,27,93
213,1,27,122
214,1,27,135
215,1,27,144
216,1,27,162
217,1,28,11
218,1,28,47
219,1,28,70
220,1,28,90
221,1,28,110
222,1,28,129
223,1,28,138
224,1,28,151
225,1,29,11
226,1,29,41
227,1,29,71
228,1,29,86
229,1,29,117
230,1,29,128
231,1,29,138
232,1,29,154
233,1,30,11
234,1,30,48
235,1,30,75
236,1,30,87
237,1,30,116
238,1,30,131
239,1,30,141
240,1,30,155
241,1,31,13
242,1,31,44
243,1,31,70
244,1,31,92
245,1,31,118
246,1,31,131
247,1,31,141
248,1,31,155
249,1,32,28
250,1,32,50
251,1,32,71
252,1,32,90
253,1,32,117
254,1,32,128
255,1,32,138
256,1,32,153
257,1,33,10
258,1,33,49
259,1,33,71
260,1,33,86
261,1,33,115
262,1,33,130
263,1,33,138
264,1,33,155
265,1,34,13
266,1,34,50
267,1,34,75
268,1,34,94
269,1,34,120
270,1,34,135
271,1,34,143
272,1,34,161
273,1,35,16
274,1,35,56
275,1,35,77
276,1,35,95
277,1,35,106
278,1,35,133
279,1,35,142
280,1,35,160
281,1,36,32
282,1,36,50
283,1,36,78
284,1,36,93
285,1,36,115
286,1,36,132
287,1,36,141
288,1,36,156
289,1,37,30
290,1,37,54
291,1,37,80
292,1,37,92
293,1,37,105
294,1,37,131
295,1,37,142
296,1,37,159
297,1,38,20
298,1,38,51
299,1,38,77
300,1,38,95
301,1,38,106
302,1,38,132
303,1,38,144
304,1,38,153
305,1,39,19
306,1,39,52
307,1,39,76
308,1,39,89
309,1,39,105
310,1,39,132
311,1,39,143
312,1,39,160
313,1,40,34
314,1,40,49
315,2,40,80
316,1,40,99
317,1,40,120
318,1,40,136
319,1,40,146
320,1,40,159
321,1,41,10
322,1,41,47
323,1,41,73
324,1,41,86
325,1,41,113
326,1,41,127
327,1,41,138
328,1,41,155
329,1,42,31
330,1,42,57
331,2,42,71
332,1,42,95
333,1,42,116
334,1,42,133
335,1,42,145
336,1,42,162
337,1,43,21
338,1,43,49
339,2,43,80
340,1,43,93
341,1,43,121
342,1,43,134
343,1,43,144
344,1,43,158
345,1,44,13
346,1,44,52
347,1,44,73
348,1,44,89
349,1,44,117
350,1,44,131
351,1,44,139
352,1,44,153
353,1,45,14
354,1,45,42
355,1,45,76
356,1,45,89
357,1,45,105
358,1,45,129
359,1,45,139
360,1,45,154
361,1,46,34
362,1,46,48
363,2,46,78
364,1,46,93
365,1,46,125
366,1,46,132
367,1,46,144
368,1,46,162
369,1,47,17
370,1,47,47
371,1,47,78
372,1,47,93
373,1,47,110
374,1,47,133
375,1,47,142
376,1,47,154
377,1,48,29
378,1,48,46
379,1,48,76
380,1,48,93
381,1,48,118
382,1,48,133
383,1,48,143
384,1,48,156
385,1,49,29
386,1,49,48
387,1,49,80
388,1,49,98
389,1,49,115
390,1,49,134
391,1,49,141
392,1,49,157
393,1,50,9
394,1,50,50
395,1,50,71
396,1,50,92
397,1,50,111
398,1,50,129
399,1,50,139
400,1,50,153
401,1,51,7
402,1,51,51
403,1,51,76
404,1,51,89
405,1,51,118
406,1,51,131
407,1,51,139
408,1,51,156
409,1,52,8
410,1,52,46
411,1,52,71
412,1,52,86
413,1,52,105
414,1,52,128
415,1,52,138
416,1,52,153
417,1,53,9
418,1,53,47
419,1,53,76
420,1,53,86
421,1,53,105
422,1,53,128
423,1,53,138
424,1,53,154
425,1,54,29
426,1,54,55
427,1,54,81
428,1,54,89
429,1,54,123
430,1,54,132
431,1,54,146
432,1,54,160
433,1,55,32
434,1,55,57
435,1,55,80
436,1,55,99
437,1,55,118
438,1,55,134
439,1,55,145
440,1,55,162
441,1,56,30
442,1,56,44
443,1,56,78
444,1,56,88
445,1,56,111
446,1,56,132
447,1,56,140
448,1,56,155
449,1,57,11
450,1,57,46
451,1,57,76
452,1,57,87
453,1,57,118
454,1,57,130
455,1,57,140
456,1,57,153
457,1,58,30
458,1,58,53
459,2,58,72
460,1,58,92
461,1,58,118
462,1,58,135
463,1,58,144
464,1,58,160
465,1,59,13
466,1,59,57
467,2,59,72
468,1,59,94
469,1,59,118
470,1,59,133
471,1,59,142
472,1,59,156
473,1,60,9
474,1,60,45
475,1,60,71
476,1,60,86
477,1,60,104
478,1,60,129
479,1,60,138
480,1,60,154
481,1,61,15
482,1,61,51
483,1,61,77
484,1,61,91
485,1,61,120
486,1,61,132
487,1,61,140
488,1,61,156
489,1,62,11
490,1,62,48
491,1,62,76
492,1,62,92
493,1,62,116
494,1,62,132
495,1,62,141
496,1,62,155
497,1,63,29
498,1,63,48
499,1,63,71
500,1,63,94
501,1,63,119
502,1,63,134
503,1,63,142
504,1,63,160
505,1,64,20
506,1,64,51
507,1,64,77
508,1,64,99
509,1,64,111
510,1,64,131
511,1,64,141
512,1,64,158
513,1,65,17
514,1,65,47
515,1,65,70
516,1,65,89
517,1,65,116
518,1,65,134
519,1,65,140
520,1,65,154
521,1,66,10
522,1,66,45
523,1,66,67
524,1,66,84
525,1,66,104
526,1,66,127
527,1,66,138
528,1,66,151
529,1,67,27
530,1,67,50
531,1,67,74
532,1,67,88
533,1,67,118
534,1,67,130
535,1,67,139
536,1,67,154
537,1,68,28
538,1,68,42
539,1,68,70
540,1,68,90
541,1,68,105
542,1,68,131
543,1,68,139
544,1,68,153
545,1,69,11
546,1,69,48
547,1,69,76
548,1,69,88
549,1,69,119
550,1,69,132
551,1,69,140
552,1,69,155
553,1,70,17
554,1,70,49
555,1,70,77
556,1,70,89
557,1,70,105
558,1,70,131
559,1,70,140
560,1,70,155
561,1,71,8
562,1,71,45
563,1,71,73
564,1,71,88
565,1,71,105
566,1,71,132
567,1,71,139
568,1,71,153
569,1,72,13
570,1,72,44
571,1,72,77
572,1,72,89
573,1,72,116
574,1,72,131
575,1,72,139
576,1,72,153
577,1,73,12
578,1,73,51
579,1,73,75
580,1,73,99
581,1,73,112
582,1,73,135
583,1,73,143
584,1,73,158
585,1,74,13
586,1,74,45
587,1,74,76
588,1,74,90
589,1,74,111
590,1,74,131
591,1,74,139
592,1,74,151
593,1,75,30
594,1,75,57
595,2,75,78
596,1,75,89
597,1,75,125
598,1,75,132
599,1,75,145
600,1,75,160
601,1,76,13
602,1,76,52
603,2,76,76
604,1,76,92
605,1,76,125
606,1,76,134
607,1,76,143
608,1,76,158
609,1,77,30
610,1,77,50
611,1,77,70
612,1,77,87
613,1,77,111
614,1,77,129
615,1,77,140
616,1,77,156
617,1,78,15
618,1,78,56
619,1,78,79
620,1,78,94
621,1,78,106
622,1,78,131
623,1,78,142
624,1,78,160
625,1,79,12
626,1,79,42
627,1,79,74
628,1,79,89
629,1,79,118
630,1,79,132
631,1,79,139
632,1,79,151
633,1,80,14
634,1,80,49
635,1,80,72
636,1,80,93
637,1,80,118
638,1,80,134
639,1,80,146
640,1,80,164
641,1,81,8
642,1,81,45
643,1,81,76
644,1,81,87
645,1,81,115
646,1,81,132
647,1,81,139
648,1,81,153
649,1,82,13
650,1,82,50
651,1,82,78
652,1,82,88
653,1,82,118
654,1,82,132
655,1,82,139
656,1,82,153
657,1,83,5
658,1,83,39
659,1,83,68
660,1,83,85
661,1,83,103
662,1,83,127
663,1,83,138
664,1,83,152
665,1,84,10
666,1,84,46
667,1,84,69
668,1,84,90
669,1,84,104
670,1,84,128
671,1,84,138
672,1,84,154
673,1,85,5
674,1,85,45
675,1,85,71
676,1,85,90
677,1,85,117
678,1,85,127
679,1,85,138
680,1,85,155
681,1,86,8
682,1,86,48
683,1,86,69
684,1,86,90
685,1,86,105
686,1,86,129
687,1,86,138
688,1,86,151
689,1,87,31
690,1,87,51
691,1,87,79
692,1,87,93
693,1,87,119
694,1,87,130
695,1,87,141
696,1,87,155
697,1,88,12
698,1,88,50
699,1,88,70
700,1,88,91
701,1,88,115
702,1,88,133
703,1,88,141
704,1,88,155
705,1,89,25
706,1,89,45
707,1,89,68
708,1,89,84
709,1,89,114
710,1,89,127
711,1,89,138
712,1,89,151
713,1,90,17
714,1,90,51
715,1,90,75
716,1,90,91
717,1,90,111
718,1,90,131
719,1,90,143
720,1,90,153
721,1,91,10
722,1,91,46
723,1,91,70
724,1,91,86
725,1,91,104
726,1,91,127
727,1,91,138
728,1,91,151
729,1,92,13
730,1,92,54
731,1,92,80
732,1,92,98
733,1,92,116
734,1,92,130
735,1,92,141
736,1,92,157
737,1,93,14
738,1,93,50
739,1,93,76
740,1,93,95
741,1,93,116
742,1,93,134
743,1,93,142
744,1,93,153
745,1,94,9
746,1,94,51
747,1,94,78
748,1,94,98
749,1,94,119
750,1,94,132
751,1,94,141
752,1,94,158
753,1,95,14
754,1,95,44
755,1,95,80
756,1,95,91
757,1,95,116
758,1,95,133
759,1,95,142
760,1,95,157
761,1,96,8
762,1,96,49
763,1,96,74
764,1,96,87
765,1,96,117
766,1,96,132
767,1,96,139
768,1,96,151
769,1,97,17
770,1,97,56
771,1,97,80
772,1,97,93
773,1,97,121
774,1,97,133
775,1,97,147
776,1,97,164
777,1,98,30
778,1,98,56
779,1,98,78
780,1,98,92
781,1,98,116
782,1,98,131
783,1,98,141
784,1,98,153
785,1,99,32
786,1,99,57
787,1,99,75
788,1,99,92
789,1,99,119
790,1,99,133
791,1,99,143
792,1,99,160
793,1,100,7
794,1,100,42
795,1,100,70
796,1,100,86
797,1,100,110
798,1,100,129
799,1,100,138
800,1,100,154
801,1,101,5
802,1,101,45
803,1,101,71
804,1,101,86
805,1,101,117
806,1,101,129
807,1,101,138
808,1,101,153
809,1,102,18
810,1,102,51
811,1,102,75
812,1,102,99
813,1,102,115
814,1,102,135
815,1,102,143
816,1,102,160
817,1,103,34
818,1,103,57
819,2,103,77
820,1,103,93
821,1,103,124
822,1,103,133
823,1,103,145
824,1,103,160
825,1,104,17
826,1,104,46
827,1,104,78
828,1,104,98
829,1,104,115
830,1,104,130
831,1,104,140
832,1,104,156
833,1,105,12
834,1,105,50
835,1,105,75
836,1,105,92
837,1,105,112
838,1,105,132
839,1,105,140
840,1,105,153
841,1,106,29
842,1,106,52
843,1,106,76
844,1,106,93
845,1,106,115
846,1,106,135
847,1,106,142
848,1,106,158
849,1,107,12
850,1,107,57
851,1,107,75
852,1,107,93
853,1,107,121
854,1,107,133
855,1,107,143
856,1,107,161
857,1,108,15
858,1,108,51
859,1,108,77
860,1,108,91
861,1,108,116
862,1,108,132
863,1,108,141
864,1,108,153
865,1,109,28
866,1,109,48
867,1,109,75
868,1,109,89
869,1,109,105
870,1,109,132
871,1,109,141
872,1,109,157
873,1,110,30
874,1,110,49
875,1,110,77
876,1,110,92
877,1,110,105
878,1,110,132
879,1,110,139
880,1,110,154
881,1,111,29
882,1,111,46
883,1,111,78
884,1,111,89
885,1,111,117
886,1,111,132
887,1,111,139
888,1,111,154
889,1,112,18
890,1,112,58
891,1,112,80
892,1,112,92
893,1,112,121
894,1,112,132
895,1,112,143
896,1,112,161
897,1,113,30
898,1,113,59
899,1,113,80
900,1,113,98
901,1,113,116
902,1,113,133
903,1,113,144
904,1,113,156
